tile,split,pct_Informal Settlements,pct_Built-Up,pct_Impervious Surfaces,pct_Vegetation,pct_Barren,pct_Water,pct_Unlabelled
jp22_1.1_1.png,train,0,0,0,0,0,100.0,0
jp22_1.1_10.png,train,0,0,0,0,0,100.0,0
jp22_1.1_11.png,train,0,0,0,0,0,100.0,0
jp22_1.1_12.png,train,0,0,0,0,0,100.0,0
jp22_1.1_13.png,train,0,0,0,0,0,100.0,0
jp22_1.1_14.png,train,0,0,0,0,0,100.0,0
jp22_1.1_15.png,train,0,0,0,0,0,100.0,0
jp22_1.1_16.png,train,0,0,0,0,0,100.0,0
jp22_1.1_17.png,train,0,0,0,0,0,100.0,0
jp22_1.1_18.png,train,0,0,0,0,0,100.0,0
jp22_1.1_19.png,train,0,0,0,0,0,100.0,0
jp22_1.1_2.png,train,0,0,0,0,0,100.0,0
jp22_1.1_20.png,train,0,0,0,0,0,100.0,0
jp22_1.1_21.png,train,0,0,0,0,0,100.0,0
jp22_1.1_22.png,train,0,0,0,0,0,100.0,0
jp22_1.1_23.png,train,0,0,0,0,0,100.0,0
jp22_1.1_24.png,train,0,0,0,0,0,100.0,0
jp22_1.1_25.png,train,0,0,0,0,0,100.0,0
jp22_1.1_26.png,train,0,0,0,0,0,100.0,0
jp22_1.1_27.png,train,0,0,0,0,0,100.0,0
jp22_1.1_28.png,train,0,0,0,0,0,100.0,0
jp22_1.1_29.png,train,0,0,0,0,0,100.0,0
jp22_1.1_3.png,train,0,0,0,0,0,100.0,0
jp22_1.1_30.png,train,0,0,0,0,0,100.0,0
jp22_1.1_31.png,train,0,0,0,0,0,100.0,0
jp22_1.1_32.png,train,0,0,0,0,0,100.0,0
jp22_1.1_33.png,train,0,0,0,0,0,100.0,0
jp22_1.1_34.png,train,0,0,0,0,0,100.0,0
jp22_1.1_35.png,train,0,0,0,0,0,100.0,0
jp22_1.1_36.png,train,0,0,0,0,0,100.0,0
jp22_1.1_37.png,train,0,0,0,0,0,100.0,0
jp22_1.1_38.png,train,0,0,0,0,0,100.0,0
jp22_1.1_39.png,train,0,0,0,0,0,100.0,0
jp22_1.1_4.png,train,0,0,0,0,0,100.0,0
jp22_1.1_40.png,train,0,0,0,0,0,100.0,0
jp22_1.1_41.png,train,0,0,0,0,0,100.0,0
jp22_1.1_42.png,train,0,0,0,0,0,100.0,0
jp22_1.1_43.png,train,0,0,0,0,0,100.0,0
jp22_1.1_44.png,train,0,0,0,0,0,100.0,0
jp22_1.1_45.png,train,0,0,0,0,0,100.0,0
jp22_1.1_46.png,train,0,0,0,0,0,100.0,0
jp22_1.1_47.png,train,0,0,0,0,0,100.0,0
jp22_1.1_48.png,train,0,0,0,0,0,100.0,0
jp22_1.1_49.png,train,0,0,0,0,0,100.0,0
jp22_1.1_5.png,train,0,0,0,0,0,100.0,0
jp22_1.1_50.png,train,0,0,0,0,0,100.0,0
jp22_1.1_51.png,train,0,0,0,0,0,100.0,0
jp22_1.1_52.png,train,0,0,0,0,0,100.0,0
jp22_1.1_53.png,train,0,0,0,0,0,100.0,0
jp22_1.1_54.png,train,0,0,0,0,0,100.0,0
jp22_1.1_55.png,train,0,0,0,0,0,100.0,0
jp22_1.1_56.png,train,0,0,0,0,0,100.0,0
jp22_1.1_57.png,train,0,0,0,0,0,100.0,0
jp22_1.1_58.png,train,0,0,0,0,0,100.0,0
jp22_1.1_59.png,train,0,0,0,0,0,100.0,0
jp22_1.1_6.png,train,0,0,0,0,0,100.0,0
jp22_1.1_60.png,train,0,0,0,0,0,100.0,0
jp22_1.1_61.png,train,0,0,0,0,0,100.0,0
jp22_1.1_62.png,train,0,0,0,0,0,100.0,0
jp22_1.1_63.png,train,0,0,0,0,0,100.0,0
jp22_1.1_64.png,train,0,0,0,0,0,100.0,0
jp22_1.1_65.png,train,0,0,0,0,0,100.0,0
jp22_1.1_66.png,train,0,0,0,0,0,100.0,0
jp22_1.1_67.png,train,0,0,0,0,0,100.0,0
jp22_1.1_68.png,train,0,0,0,0,0,100.0,0
jp22_1.1_69.png,train,0,0,0,0,0,100.0,0
jp22_1.1_7.png,train,0,0,0,0,0,100.0,0
jp22_1.1_70.png,train,0,0,0,0,0,100.0,0
jp22_1.1_71.png,train,0,0,0,0,0,100.0,0
jp22_1.1_72.png,train,0,0,0,0,0,100.0,0
jp22_1.1_73.png,train,0,0,0,0,0,100.0,0
jp22_1.1_74.png,train,0,0,0,0,0,100.0,0
jp22_1.1_75.png,train,0,0,0,0,0,100.0,0
jp22_1.1_76.png,train,0,0,0,0,0,100.0,0
